mturk,private,lon,ses,round,gameperiod,group,type,subject,payperiod,paygame,k,urn,q1,q2,q3,q4,guess,guess2,orange,rt,rt2,unique
0,0,0,171010_1149,1,4,3,3,8,13,2,.98318744,2,,,,,0,,0,24,,1008
0,0,0,171010_1149,1,4,4,1,6,8,2,.54433078,1,,,,,.5,,0,15,,1006
0,0,0,171010_1149,1,4,4,2,12,13,1,.23069778,1,,,,,.090000004,,0,17,,1012
0,0,0,171010_1149,1,4,4,3,4,17,5,.57267815,1,,,,,0,,0,-47,,1004
0,0,0,171010_1149,1,4,5,1,11,17,5,.32637706,1,,,,,1,,1,25,,1011
0,0,0,171010_1149,1,4,5,2,9,15,2,.91650194,1,,,,,0,,1,20,,1009
0,0,0,171010_1149,1,4,5,3,15,7,1,.81517345,1,,,,,.0099999998,,1,-12,,1015
0,0,0,171010_1149,1,5,1,1,3,21,1,.050432529,1,,,,,.5,,0,18,,1003
0,0,0,171010_1149,1,5,1,2,5,7,2,.34699857,1,,,,,.1,,0,8,,1005
0,0,0,171010_1149,1,5,1,3,14,28,2,.88447332,1,,,,,.69999999,,0,-19,,1014
0,0,0,171010_1149,1,5,2,1,13,5,5,.11806634,2,,,,,.2,,1,-7,,1013
0,0,0,171010_1149,1,5,2,2,2,2,5,.34276125,2,,,,,1,,1,12,,1002
0,0,0,171010_1149,1,5,2,3,7,27,3,.34091839,2,,,,,.5,,1,22,,1007
0,0,0,171010_1149,1,5,3,1,16,13,4,.99454165,2,,,,,.49000001,,1,9,,1016
0,0,0,171010_1149,1,5,3,2,10,19,2,.01061463,2,,,,,.30000001,,1,10,,1010
0,0,0,171010_1149,1,5,3,3,8,13,2,.98318744,2,,,,,.30000001,,1,15,,1008
0,0,0,171010_1149,1,5,4,1,6,8,2,.54433078,1,,,,,.40000001,,1,-9,,1006
0,0,0,171010_1149,1,5,4,2,12,13,1,.23069778,1,,,,,0,,1,-4,,1012
0,0,0,171010_1149,1,5,4,3,4,17,5,.57267815,1,,,,,1,,1,25,,1004
0,0,0,171010_1149,1,5,5,1,11,17,5,.32637706,1,,,,,1,,1,25,,1011
0,0,0,171010_1149,1,5,5,2,9,15,2,.91650194,1,,,,,.5,,1,7,,1009
0,0,0,171010_1149,1,5,5,3,15,7,1,.81517345,1,,,,,.81,,1,-33,,1015
0,0,0,171010_1149,1,6,1,1,3,21,1,.050432529,1,,,,,.5,,1,18,,1003
0,0,0,171010_1149,1,6,1,2,5,7,2,.34699857,1,,,,,.94999999,,1,7,,1005
0,0,0,171010_1149,1,6,1,3,14,28,2,.88447332,1,,,,,.83999997,,1,25,,1014
0,0,0,171010_1149,1,6,2,1,13,5,5,.11806634,2,,,,,.2,,1,17,,1013
0,0,0,171010_1149,1,6,2,2,2,2,5,.34276125,2,,,,,1,,1,18,,1002
0,0,0,171010_1149,1,6,2,3,7,27,3,.34091839,2,,,,,.5,,1,-13,,1007
0,0,0,171010_1149,1,6,3,1,16,13,4,.99454165,2,,,,,.47,,0,12,,1016
0,0,0,171010_1149,1,6,3,2,10,19,2,.01061463,2,,,,,0,,0,10,,1010
0,0,0,171010_1149,1,6,3,3,8,13,2,.98318744,2,,,,,0,,0,26,,1008
0,0,0,171010_1149,1,6,4,1,6,8,2,.54433078,1,,,,,0,,1,13,,1006
0,0,0,171010_1149,1,6,4,2,12,13,1,.23069778,1,,,,,0,,1,14,,1012
0,0,0,171010_1149,1,6,4,3,4,17,5,.57267815,1,,,,,1,,1,23,,1004
0,0,0,171010_1149,1,6,5,1,11,17,5,.32637706,1,,,,,1,,1,16,,1011
0,0,0,171010_1149,1,6,5,2,9,15,2,.91650194,1,,,,,.5,,1,18,,1009
0,0,0,171010_1149,1,6,5,3,15,7,1,.81517345,1,,,,,.81,,1,6,,1015
0,0,0,171010_1149,1,7,1,1,3,21,1,.050432529,1,,,,,.89999998,,1,12,,1003
0,0,0,171010_1149,1,7,1,2,5,7,2,.34699857,1,,,,,.89999998,,1,19,,1005
0,0,0,171010_1149,1,7,1,3,14,28,2,.88447332,1,,,,,.94,,1,20,,1014
0,0,0,171010_1149,1,7,2,1,13,5,5,.11806634,2,,,,,.1,,1,18,,1013
0,0,0,171010_1149,1,7,2,2,2,2,5,.34276125,2,,,,,.5,,1,22,,1002
0,0,0,171010_1149,1,7,2,3,7,27,3,.34091839,2,,,,,.5,,1,24,,1007
0,0,0,171010_1149,1,7,3,1,16,13,4,.99454165,2,,,,,.50999999,,1,25,,1016
0,0,0,171010_1149,1,7,3,2,10,19,2,.01061463,2,,,,,.30000001,,1,11,,1010
0,0,0,171010_1149,1,7,3,3,8,13,2,.98318744,2,,,,,.30000001,,1,21,,1008
0,0,0,171010_1149,1,7,4,1,6,8,2,.54433078,1,,,,,.40000001,,1,0,,1006
0,0,0,171010_1149,1,7,4,2,12,13,1,.23069778,1,,,,,0,,1,-9,,1012
0,0,0,171010_1149,1,7,4,3,4,17,5,.57267815,1,,,,,1,,1,23,,1004
0,0,0,171010_1149,1,7,5,1,11,17,5,.32637706,1,,,,,1,,1,27,,1011
0,0,0,171010_1149,1,7,5,2,9,15,2,.91650194,1,,,,,.5,,1,24,,1009
0,0,0,171010_1149,1,7,5,3,15,7,1,.81517345,1,,,,,.81,,1,18,,1015
0,0,0,171010_1149,1,8,1,1,3,21,1,.050432529,1,,,,,.5,,0,10,,1003
0,0,0,171010_1149,1,8,1,2,5,7,2,.34699857,1,,,,,.18000001,,0,7,,1005
0,0,0,171010_1149,1,8,1,3,14,28,2,.88447332,1,,,,,.82999998,,0,14,,1014
0,0,0,171010_1149,1,8,2,1,13,5,5,.11806634,2,,,,,.60000002,,0,17,,1013
0,0,0,171010_1149,1,8,2,2,2,2,5,.34276125,2,,,,,0,,0,16,,1002
0,0,0,171010_1149,1,8,2,3,7,27,3,.34091839,2,,,,,.5,,0,-4,,1007
0,0,0,171010_1149,1,8,3,1,16,13,4,.99454165,2,,,,,.5,,1,26,,1016
0,0,0,171010_1149,1,8,3,2,10,19,2,.01061463,2,,,,,.40000001,,1,-1,,1010
0,0,0,171010_1149,1,8,3,3,8,13,2,.98318744,2,,,,,.5,,1,17,,1008
0,0,0,171010_1149,1,8,4,1,6,8,2,.54433078,1,,,,,.25,,1,17,,1006
0,0,0,171010_1149,1,8,4,2,12,13,1,.23069778,1,,,,,0,,1,23,,1012
0,0,0,171010_1149,1,8,4,3,4,17,5,.57267815,1,,,,,1,,1,25,,1004
0,0,0,171010_1149,1,8,5,1,11,17,5,.32637706,1,,,,,1,,0,16,,1011
0,0,0,171010_1149,1,8,5,2,9,15,2,.91650194,1,,,,,.5,,0,23,,1009
0,0,0,171010_1149,1,8,5,3,15,7,1,.81517345,1,,,,,.36000001,,0,18,,1015
0,0,0,171010_1149,1,9,1,1,3,21,1,.050432529,1,,,,,.89999998,,1,6,,1003
0,0,0,171010_1149,1,9,1,2,5,7,2,.34699857,1,,,,,.99000001,,1,-1,,1005
0,0,0,171010_1149,1,9,1,3,14,28,2,.88447332,1,,,,,.87,,1,20,,1014
0,0,0,171010_1149,1,9,2,1,13,5,5,.11806634,2,,,,,.30000001,,1,15,,1013
0,0,0,171010_1149,1,9,2,2,2,2,5,.34276125,2,,,,,.5,,1,16,,1002
0,0,0,171010_1149,1,9,2,3,7,27,3,.34091839,2,,,,,.5,,1,28,,1007
0,0,0,171010_1149,1,9,3,1,16,13,4,.99454165,2,,,,,.50999999,,1,21,,1016
0,0,0,171010_1149,1,9,3,2,10,19,2,.01061463,2,,,,,.80000001,,1,16,,1010
0,0,0,171010_1149,1,9,3,3,8,13,2,.98318744,2,,,,,.69999999,,1,14,,1008
0,0,0,171010_1149,1,9,4,1,6,8,2,.54433078,1,,,,,.30000001,,0,-8,,1006
0,0,0,171010_1149,1,9,4,2,12,13,1,.23069778,1,,,,,.89999998,,0,16,,1012
0,0,0,171010_1149,1,9,4,3,4,17,5,.57267815,1,,,,,0,,0,22,,1004
0,0,0,171010_1149,1,9,5,1,11,17,5,.32637706,1,,,,,1,,0,27,,1011
0,0,0,171010_1149,1,9,5,2,9,15,2,.91650194,1,,,,,.5,,0,20,,1009
0,0,0,171010_1149,1,9,5,3,15,7,1,.81517345,1,,,,,.0099999998,,0,17,,1015
0,0,0,171010_1149,1,10,1,1,3,21,1,.050432529,1,,,,,.5,,0,17,,1003
0,0,0,171010_1149,1,10,1,2,5,7,2,.34699857,1,,,,,0,,0,24,,1005
0,0,0,171010_1149,1,10,1,3,14,28,2,.88447332,1,,,,,.81,,0,4,,1014
0,0,0,171010_1149,1,10,2,1,13,5,5,.11806634,2,,,,,.69999999,,0,12,,1013
0,0,0,171010_1149,1,10,2,2,2,2,5,.34276125,2,,,,,0,,0,6,,1002
0,0,0,171010_1149,1,10,2,3,7,27,3,.34091839,2,,,,,.5,,0,22,,1007
0,0,0,171010_1149,1,10,3,1,16,13,4,.99454165,2,,,,,.49000001,,1,18,,1016
0,0,0,171010_1149,1,10,3,2,10,19,2,.01061463,2,,,,,.89999998,,1,15,,1010
0,0,0,171010_1149,1,10,3,3,8,13,2,.98318744,2,,,,,.89999998,,1,13,,1008
0,0,0,171010_1149,1,10,4,1,6,8,2,.54433078,1,,,,,.40000001,,0,6,,1006
0,0,0,171010_1149,1,10,4,2,12,13,1,.23069778,1,,,,,.94,,0,8,,1012
0,0,0,171010_1149,1,10,4,3,4,17,5,.57267815,1,,,,,0,,0,24,,1004
0,0,0,171010_1149,1,10,5,1,11,17,5,.32637706,1,,,,,1,,0,28,,1011
0,0,0,171010_1149,1,10,5,2,9,15,2,.91650194,1,,,,,.5,,0,27,,1009
0,0,0,171010_1149,1,10,5,3,15,7,1,.81517345,1,,,,,.0099999998,,0,3,,1015
0,0,0,171010_1149,1,11,1,1,3,21,1,.050432529,1,,,,,.89999998,,1,20,,1003
0,0,0,171010_1149,1,11,1,2,5,7,2,.34699857,1,,,,,.92000002,,1,17,,1005
0,0,0,171010_1149,1,11,1,3,14,28,2,.88447332,1,,,,,.91000003,,1,16,,1014
0,0,0,171010_1149,1,11,2,1,13,5,5,.11806634,2,,,,,.2,,1,19,,1013
0,0,0,171010_1149,1,11,2,2,2,2,5,.34276125,2,,,,,.5,,1,24,,1002
0,0,0,171010_1149,1,11,2,3,7,27,3,.34091839,2,,,,,.5,,1,26,,1007
0,0,0,171010_1149,1,11,3,1,16,13,4,.99454165,2,,,,,.50999999,,0,26,,1016
0,0,0,171010_1149,1,11,3,2,10,19,2,.01061463,2,,,,,.5,,0,6,,1010
0,0,0,171010_1149,1,11,3,3,8,13,2,.98318744,2,,,,,.5,,0,18,,1008
0,0,0,171010_1149,1,11,4,1,6,8,2,.54433078,1,,,,,.80000001,,1,22,,1006
